Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PRECIOUS ACHIUWA,C,23.0,TOR,55.0,12.0,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2
STEVEN ADAMS,C,29.0,MEM,42.0,42.0,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
BAM ADEBAYO,C,25.0,MIA,75.0,75.0,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4
OCHAI AGBAJI,SG,22.0,UTA,59.0,22.0,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9
SANTI ALDAMA,PF,22.0,MEM,77.0,20.0,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0
NICKEIL ALEXANDER-WALKER,SG,24.0,TOT,59.0,3.0,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2
NICKEIL ALEXANDER-WALKER,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
NICKEIL ALEXANDER-WALKER,SG,24.0,MIN,23.0,0.0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1.0,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9
GRAYSON ALLEN,SG,27.0,MIL,72.0,70.0,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4
JARRETT ALLEN,C,24.0,CLE,68.0,68.0,32.6,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3
JOSE ALVARADO,PG,24.0,NOP,61.0,10.0,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
KYLE ANDERSON,PF,29.0,MIN,69.0,46.0,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4
GIANNIS ANTETOKOUNMPO,PF,28.0,MIL,63.0,63.0,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1
THANASIS ANTETOKOUNMPO,PF,30.0,MIL,37.0,0.0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4
COLE ANTHONY,PG,22.0,ORL,60.0,4.0,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0
OG ANUNOBY,SF,25.0,TOR,67.0,67.0,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8
RYAN ARCIDIACONO,PG,28.0,TOT,20.0,4.0,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0.0,0.0,0.0,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3
RYAN ARCIDIACONO,PG,28.0,NYK,11.0,0.0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
RYAN ARCIDIACONO,PG,28.0,POR,9.0,4.0,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0.0,0.0,0.0,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6
DENI AVDIJA,SF,22.0,WAS,76.0,40.0,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2
DEANDRE AYTON,C,24.0,PHO,67.0,67.0,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0
UDOKA AZUBUIKE,C,23.0,UTA,36.0,4.0,10.0,1.6,2.0,0.819,0.0,0.0,0.0,1.6,2.0,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5
MARVIN BAGLEY III,C,23.0,DET,42.0,25.0,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0
PATRICK BALDWIN JR.,SF,20.0,GSW,31.0,0.0,7.3,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9
,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
